"COVER","HEIGHT","rf","arf7","arf14","arf28","arf60","arf90","arf180","arf360","arf720","se","ase7","ase14","ase28","ase60","ase90","ase180","ase360","ase720","maxt","amaxt7","amaxt14","amaxt28","amaxt60","amaxt90","amaxt180","amaxt360","amaxt720","mint","amint7","amint14","amint28","amint60","amint90","amint180","amint360","amint720","dist_cfa","dist_camp","ws","aws_m0","aws_m1","aws_m3","aws_m6","aws_m12","aws_m24","dist_road","month","density_result","FOR_TYPE_Acacia","FOR_TYPE_Callitris","FOR_TYPE_Hardwood_plantation","FOR_TYPE_Melaleuca","FOR_TYPE_Non_forest","FOR_TYPE_Other_forest___unallocated_type","FOR_TYPE_Other_native_forest","FOR_TYPE_Rainforest","FOR_TYPE_Softwood_plantation","FOR_TYPE_Eucalypt"
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.54,0.501666666666667,0.468055555555556,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3216666666667,31.4744444444444,25.4066666666667,25.2365277777778,12,17.9142857142857,16.7142857142857,16.0821428571429,15.41,16.1258333333333,14.72,10.5322222222222,10.4776388888889,45881.9200530113,79184.8479803865,8.09791666666667,11.2037218628201,11.6987940936982,12.0484940763632,11.4816643659156,11.3076865553251,11.3237090544013,10126.4670950691,"Oct",0.0208486848060465,0,0,0,0,0,0,0,0,0,1
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.54,0.501666666666667,0.468055555555556,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3216666666667,31.4744444444444,25.4066666666667,25.2365277777778,12,17.9142857142857,16.7142857142857,16.0821428571429,15.41,16.1258333333333,14.72,10.5322222222222,10.4776388888889,29792.5759315002,95168.8396842912,11.8354166666667,8.8309134596378,9.00928923384597,8.29618714788465,7.58318332403164,8.29027254505253,8.36526813045351,6020.83938535169,"Oct",0.0232402236876104,0,0,0,0,0,0,0,0,0,1
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.547777777777778,0.575555555555556,0.552916666666667,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3141666666667,31.4694444444444,25.3938888888889,25.2275,12,17.9142857142857,16.7142857142857,16.0821428571429,15.3933333333333,16.1175,14.715,10.5266666666667,10.4636111111111,37322.8053596922,68569.183843557,8.09791666666667,11.2037218628201,11.6987940936982,12.0484940763632,11.4816643659156,11.3076865553251,11.3237090544013,5194.61269116046,"Oct",0.0314793209906567,0,0,0,0,0,0,0,0,0,1
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.54,0.501666666666667,0.468055555555556,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3216666666667,31.4744444444444,25.4066666666667,25.2365277777778,12,17.9142857142857,16.7142857142857,16.0821428571429,15.41,16.1258333333333,14.72,10.5322222222222,10.4776388888889,44085.2114029567,81724.9692535734,11.5884615384615,11.1569002253526,10.8100882956618,11.1036495461864,10.4426445484076,10.6318140969721,10.6327508352372,7661.79191059173,"Oct",0.0345607446274682,0,0,0,0,0,0,0,0,0,1
1,2,0,0,3.58571428571429,3.04285714285714,1.42,0.758333333333333,0.58,0.597222222222222,0.726111111111111,25.6,18.8142857142857,20.6928571428571,20.9481481481481,24.5,23.9697478991597,20.9798882681564,17.0348189415042,17.1407510431154,30.6,33.8857142857143,31.3642857142857,30.8785714285714,31.71,32.715,30.8988888888889,24.9683333333333,24.6133333333333,8.7,15.7,14.9142857142857,15.0285714285714,14.3566666666667,15.0575,13.2433333333333,8.98111111111111,8.96736111111111,15506.8902520182,74892.9390558298,8.09791666666667,11.2037218628201,11.6987940936982,12.0484940763632,11.4816643659156,11.3076865553251,11.3237090544013,247.900209266852,"Oct",0.00769473032427974,0,0,0,0,0,0,1,0,0,0
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.547777777777778,0.579444444444444,0.554861111111111,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3141666666667,31.4644444444444,25.3913888888889,25.22625,12,17.9142857142857,16.7142857142857,16.0821428571429,15.3933333333333,16.1175,14.715,10.5266666666667,10.4636111111111,25945.7326770489,32103.9083433828,7.09166666666667,9.48542186606053,9.58243660555334,8.47656944167971,8.07271775842576,9.23393167145176,9.33662420353441,2648.79991753897,"Oct",0.0198625536120329,0,0,0,0,0,0,1,0,0,0
1,1,0,0,3.58571428571429,2.75,1.28333333333333,0.69,0.547777777777778,0.579444444444444,0.554861111111111,24.2,20.4428571428571,21.3142857142857,21.1851851851852,24.7033898305085,24.0882352941176,21.1368715083799,17.2891364902507,17.3766342141864,30.2,34.3428571428571,31.8,30.95,32.1966666666667,33.3141666666667,31.4644444444444,25.3913888888889,25.22625,12,17.9142857142857,16.7142857142857,16.0821428571429,15.3933333333333,16.1175,14.715,10.5266666666667,10.4636111111111,30535.7291216961,31843.9957049615,7.09166666666667,9.48542186606053,9.58243660555334,8.47656944167971,8.07271775842576,9.23393167145176,9.33662420353441,2733.34404068047,"Oct",0.0201864886957432,0,0,0,0,0,0,0,0,0,1
2,2,0,1.11428571428571,2.22857142857143,5.80714285714286,3.37666666666667,2.94333333333333,2.15444444444444,1.86777777777778,2.18694444444444,25.2,22.3285714285714,23.0428571428571,19.4777777777778,19.9813559322034,19.2201680672269,17.0620111731844,14.2779944289694,14.1129346314325,25.3,26.9285714285714,27.6928571428571,25.4785714285714,25.7116666666667,25.7058333333333,24.4833333333333,19.6966666666667,19.37875,10.3,12.1714285714286,12.2357142857143,12.65,13.1933333333333,13.3733333333333,12.7255555555556,9.45833333333333,9.55444444444444,16810.2348107416,18977.8372384024,6.45769230769231,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.90551806096133,5.98189591001654,632.082135814414,"Nov",0.332044403714928,0,0,0,0,0,0,0,0,0,1
1,2,0.2,4.17142857142857,2.41428571428571,1.22142857142857,0.66,0.533333333333333,0.776666666666667,1.21722222222222,1.26277777777778,11.7,18.5428571428571,21.05,22.675,23.525,21.2475,17.6366666666667,15.2361111111111,15.4155555555556,33.4,22.3,24.4285714285714,26.1464285714286,28.8,28.1133333333333,25.5961111111111,21.1858333333333,21.1980555555556,21.4,11.8714285714286,10.8428571428571,11.2071428571429,12.2983333333333,12.5391666666667,11.475,8.80277777777778,8.60208333333333,10233.2522062424,33850.8217664791,4.7725,9.1200517654178,5.91640617422239,5.82084351799732,5.04149532137178,5.76887263094635,5.80320546878386,327.848362967003,"Nov",0.0299258434057187,0,0,0,0,0,0,0,0,0,1
6,6,0,3.74285714285714,2.47142857142857,1.6,0.753333333333333,0.423333333333333,0.376666666666667,0.373333333333333,0.417916666666667,21.5,20.2142857142857,24.4071428571429,26.2035714285714,26.3516666666667,23.8758333333333,20.2511111111111,18.0794444444444,18.3184722222222,36.8,25.5857142857143,28.2071428571429,31.2142857142857,33.945,32.9566666666667,30.0144444444444,25.5227777777778,25.5173611111111,23.2,14.3142857142857,13.8428571428571,15.8285714285714,17.6083333333333,16.9841666666667,14.4577777777778,10.9219444444444,10.9204166666667,16393.4703263314,143600.909289691,7.475,7.58641054588649,6.03008956592519,6.72856691491887,5.98558207421467,5.91432426046958,5.93367459574545,2858.79373253213,"Nov",0.00915845448475975,0,0,0,0,1,0,0,0,0,0
